,image,caption,ko_captions
0,1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,분홍색 드레스를 입은 어린이는 진입 방식으로 계단을 올라갑니다.
1,1000268201_693b08cb0e.jpg,A girl going into a wooden building .,나무 건물에 들어가는 소녀.
2,1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .,어린 소녀가 나무 놀이 집으로 등반합니다.
3,1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .,그녀의 극장으로 계단을 오르는 어린 소녀.
4,1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .,분홍색 드레스를 입은 어린 소녀가 나무 오두막에 들어갑니다.
5,1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,검은 개와 발견 된 개가 싸우고 있습니다
6,1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .,검은 개와 도로에서 서로 놀고있는 3 색 개.
7,1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,검은 개와 갈색 반점이있는 흰 개가 길거리에서 서로 쳐다보고 있습니다.
8,1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .,다른 품종의 두 마리의 개가 도로에서 서로를 바라보고 있습니다.
9,1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .,포장 도로에 두 마리의 개가 서로 향해 움직입니다.
10,1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,페인트로 덮인 어린 소녀는 그릇에 손을 대고 그려진 무지개 앞에 앉아 있습니다.
11,1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .,어린 소녀가 큰 페인트 무지개 앞에 앉아 있습니다.
12,1002674143_1b742ab4b8.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,잔디 속의 작은 소녀는 무지개가 달린 흰색 캔버스 앞에 손가락으로 재생됩니다.
13,1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .,무지개 그림 앞에 피그 테일이있는 소녀가 있습니다.
14,1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,돼지가 잔디 밖에서 그림을 그리는 어린 소녀.
15,1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .,그의 개가 그에게 앉을 때 한 남자가 벤치에 눕습니다.
16,1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,한 남자는 흰 개가 묶인 벤치에 누워 있습니다.
17,1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,그 옆에 흰색과 검은 개가있는 벤치에서 자고있는 남자.
18,1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .,셔츠가없는 남자는 개와 함께 공원 벤치에 누워 있습니다.
19,1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,벤치에 누워서 땅에 앉아 개의 가죽 끈
20,1007129816_e794419615.jpg,A man in an orange hat starring at something .,무언가를 주연하는 오렌지 모자를 쓴 남자.
21,1007129816_e794419615.jpg,A man wears an orange hat and glasses .,남자는 오렌지 모자와 안경을 착용합니다.
22,1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .,게이지와 안경을 쓴 남자가 블리츠 모자를 쓰고 있습니다.
23,1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .,안경을 쓴 남자는 맥주를 착용하고 있습니다.
24,1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .,뚫린 귀를 가진 남자는 안경과 오렌지 모자를 쓰고 있습니다.
25,1007320043_627395c3d8.jpg,A child playing on a rope net .,밧줄 네트에서 놀고있는 아이.
26,1007320043_627395c3d8.jpg,A little girl climbing on red roping .,붉은 밧줄로 오르는 어린 소녀.
27,1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .,분홍색의 어린 소녀가 공원에서 밧줄 다리를 올라갑니다.
28,1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .,작은 아이가 놀이터의 붉은 밧줄에 움켜 쥐고 있습니다.
29,1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .,작은 아이는 놀이터에서 붉은 밧줄로 올라갑니다.
30,1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,흑백 개가 흰 울타리로 둘러싸인 잔디 정원에서 달리고 있습니다.
31,1009434119_febe49276a.jpg,A black and white dog is running through the grass .,흑백 개가 잔디를 통해 달리고 있습니다.
32,1009434119_febe49276a.jpg,A Boston terrier is running in the grass .,보스턴 테리어가 잔디에서 달리고 있습니다.
33,1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence .,보스턴 테리어는 흰 울타리 앞의 무성한 푸른 잔디에서 달리고 있습니다.
34,1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .,개가 나무 울타리 근처의 푸른 잔디에서 달린다.
35,1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it .",개가 해안 근처에서 머리를 흔들고 옆에 붉은 공이 흔들립니다.
36,1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .,하얀 개가 오렌지 공으로 해변 가장자리에 흔들립니다.
37,1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water","발에 오렌지 공을 가진 개, 해안에 서서 물을 흔들어"
38,1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water .,물 근처의 해안에서 빨간 공을 가지고 노는 흰 개.
39,1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .,갈색 귀가 물 근처에 서있는 흰 개는 머리가 한쪽으로 바뀌 었습니다.
40,1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .,소년은 도시의 돌이 벽 앞에서 미소를 짓습니다.
41,1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .,어린 소년이 길거리에 서서 바지에있는 남자가 돌담에서 일하고 있습니다.
42,1015118661_980735411b.jpg,A young boy runs aross the street .,어린 소년이 길을 가로 질러 달린다.
